abbrev.	abbreviation (of)
abl.	ablative
absol.	absolute
Abstr.	Abstract
acc.	accusative
Acct.	Account
A.D.	Anno_Domini
ad.		adaptation of
Add.	Addenda
adj.	adjective
Adv.	Advance 
adv.	adverb
advb.	adverbial 
Advt.	advertisement
Aeronaut.	(as label) in Aeronautics; Aeronautic  
AF. AFr.	Anglo-French
Afr.	Africa 
Agric.	(as label) in Agriculture; Agriculture - al
Alb.	Albanian
Amer.	American
Amer. Ind.	American Indian
Anat.	(as label) in Anatomy; Anatomy - ical
Anc.	Ancient
Anglo-Ind.	Anglo-Indian
Anglo-Ir.	Anglo-Irish
Ann.	Annals
Anthrop. Anthropol.	(as label) in Anthropology; Anthropology -ical
Antiq.	(as label) in Antiquities; Antiquity
aphet.	aphetic aphetized
app.	apparently
Appl.	Applied
Applic.	Application 
appos.	appositive 
Arab.	Arabic
Aram.	Aramaic
Arch.	(as label) in Architecture; Architecture 
Arm.	Armenian
assoc.	association
Astr.	in Astronomy
Astrol.	in Astrology
Astron.	Astronomy -ical
Astronaut.	Astronautic 
attrib.	attributive 
Austral.	Australian
Autobiogr.	Autobiography -ical
A.V.	Authorized Version
B.C.	Before Christ
B.C.	British Columbia
bef.	before
Bibliogr.	(as label) in Bibliography; Bibliography -ical
Biochem.	(as label) in Biochemistry; Biochemistry -ical
Biol.	(as label) in Biology; Biology - ical
Bk.	Book
Bot. (as label) in Botany; Botany -ical Bp.	Bishop
Brit.	Britain British
Bulg.	Bulgarian
Bull.	Bulletin
c (as c 1700)	circa 'about'
c. (as 19th c.)	century
Cal.	Calendar
Cambr.	Cambridge
Canad.	Canadian
Cat.	Catalan
catachr.	catachrestically
Catal.	Catalogue
Celt.	Celtic
Cent.	Century Central
Cent. Dict.	Century Dictionary
Cf. cf.	confer 'compare'
Ch.	Church
Chem.	(as label) in Chemistry; Chemistry - ical
Chr.	Christian
Chron.	Chronicle
Chronol.	Chronology -ical
Cinemat. Cinematogr.	in Cinematography
Clin.	Clinical
cl. L.	classical Latin
cogn. w.	cognate with
Col.	Colonel Colony
Coll.	Collection
collect.	collective 
colloq.	colloquial 
comb.	combined -ing
Comb.	Combinations
Comm.	in Commercial usage
Communic.	in Communications
comp.	compound composition
Compan.	Companion
compar.	comparative
compl.	complement
Compl.	Complete
Conc.	Concise
Conch.	in Conchology
concr.	concrete 
Conf.	Conference
Congr.	Congress
conj.	conjunction
cons.	consonant
const.	construction construed with
contr.	contrast (with)
Contrib.	Contribution
Corr.	Correspondence
corresp.	corresponding (to)
Cotgr.	R. Cotgrave Dictionarie of the French and English tongues
cpd.	compound
Crit.	criticism critical
Cryst.	in Crystallography
Cycl.	Cyclopaedia -ic
Cytol.	Cytology -ical
Da.	Danish
D.A.	Dictionary of Americanisms
D.A.E.	Dictionary of American English
dat.	dative
D.C.	District of Columbia
Deb.	Debate 
def.	definite -ition
dem.	demonstrative
deriv.	derivative -ation
derog.	derogatory
Descr.	Description -tive
Devel.	Development 
Diagn.	Diagnosis Diagnostic
dial.	dialect 
Dict.	dictionary; spec. the Oxford English Dictionary
dim.	diminutive
Dis.	Disease
Diss.	Dissertation
D.O.S.T.	Dictionary of the Older Scottish Tongue
Du.	Dutch
E.	East
Eccl.	(as label) in Ecclesiastical usage; Ecclesiastical
Ecol.	in Ecology
Econ.	(as label) in Economics; Economy - ics
ed.	edition
E.D.D.	English Dialect Dictionary
Edin.	Edinburgh
Educ.	(as label) in Education; Education - al
EE.	Early English
e.g.	exempli gratia 'for example'
Electr.	(as label) in Electricity; Electricity - ical
Electron.	Electronic 
Elem.	Element -ary
ellipt.	elliptical 
Embryol.	in Embryology
e.midl.	east midland (dialect)
Encycl.	Encyclopaedia -ic
Eng.	England English
Engin.	in Engineering
Ent.	in Entomology
Entomol.	Entomology -logical
erron.	erroneous 
esp.	especially
Ess.	Esssay 
et al.	et alii 'and others'
etc.	et cetera
Ethnol.	in Ethnology
etym.	etymology
euphem.	euphemistically
Exam.	Examination
exc.	except
Exerc.	Exercise 
Exper.	Experiment 
Explor.	Exploration 
f.		formed on
F.		French
fem.	feminine
fig.	figurative 
Finn.	Finnish
fl.	floruit 'flourished'
Found.	Foundation 
Fr.	French
freq.	frequent 
Fris.	Frisian
Fund.	Fundamental 
G.	German
Gael.	Gaelic
Gaz.	Gazette
gen.	genitive
gen.	general 
Geogr.	(as label) in Geography; Geography - ical
Geol.	(as label) in Geology; Geology - ical
Geom.	in Geometry
Geomorphol.	in Geomorphology
Ger.	German
Gloss.	Glossary
Gmc.	Germanic
Godef.	F. Godefroy Dictionnaire de l'ancienne langue francaise
Goth.	Gothic
Govt.	Government
Gr.	Greek
Gr.	Great
Gram.	Grammar
Gt.	Great
Heb.	Hebrew
Her.	in Heraldry
Herb.	among herbalists
Hind.	Hindustani
hist.	historical
Househ.	Household
Housek.	Housekeeping
Ibid.	Ibidem 'in the same book or passage'
Icel.	Icelandic
i.e.	that_ is
IE.		Indo-European
imit.	imitative
imp.	imperative
impers.	impersonal
impf.	imperfect
ind.	indicative
indef.	indefinite
Industr.	Industry -ial
inf.	infinitive
infl.	influenced
Inorg.	Inorganic
Ins.	Insurance
Inst.	Institute -tion
int.	interjection
intr.	intransitive
Introd.	Introduction
Ir.	Irish
